Operateur,Reference,Produit,Engagement,Unit,TypeProduit,Frequence,TermeFacturation,RecurentCharge,NonRecurentCharge
COVAGE,DS-IC-FTTE-Z2-10+M-CVG-24,Lien FTTE BPEA 10 Mb/s burst 100 Mb/s Z2 THD Covage,Engagement 24 mois,Lien,NRC,, choir,278.00 ,575.00 
COVAGE,DS-IC-FTTE-Z3-2+M-CVG-36,Lien FTTE BPEA 2 Mb/s burst 100 Mb/s Z3 THD Covage,Engagement 36 mois,Lien,Rcurrent,1, choir,211.00 ,0.00 
COVAGE,DS-IC-FTTE-Z3-2+M-CVG-24,Lien FTTE BPEA 2 Mb/s burst 100 Mb/s Z3 THD Covage,Engagement 24 mois,Lien,NRC,, choir,211.00 ,1495.00 
COVAGE,DS-IC-FTTE-Z3-10+M-CVG-36,Lien FTTE BPEA 10 Mb/s burst 100 Mb/s Z3 THD Covage,Engagement 36 mois,Lien,Rcurrent,1, choir,326.00 ,0.00 
COVAGE,DS-IC-FTTE-Z3-10+M-CVG-24,Lien FTTE BPEA 10 Mb/s burst 100 Mb/s Z3 THD Covage,Engagement 24 mois,Lien,NRC,, choir,326.00 ,1150.00 
COVAGE,DS-IC-FTTE-Z4-2+M-CVG-36,Lien FTTE BPEA 2 Mb/s burst 100 Mb/s Z4 THD Covage,Engagement 36 mois,Lien,Rcurrent,1, choir,262.00 ,0.00 
COVAGE,DS-IC-FTTE-Z4-2+M-CVG-24,Lien FTTE BPEA 2 Mb/s burst 100 Mb/s Z4 THD Covage,Engagement 24 mois,Lien,NRC,, choir,262.00 ,2109.00 
COVAGE,DS-IC-FTTE-Z4-10+M-CVG-36,Lien FTTE BPEA 10 Mb/s burst 100 Mb/s Z4 THD Covage,Engagement 36 mois,Lien,Rcurrent,1, choir,374.00 ,0.00 
COVAGE,DS-IC-FTTE-Z4-10+M-CVG-24,Lien FTTE BPEA 10 Mb/s burst 100 Mb/s Z4 THD Covage,Engagement 24 mois,Lien,NRC,, choir,374.00 ,1725.00 
LIAIN,DS-IC-FTTE-10M400-LIAIN-36,Lien FTTE 10 Mb/s garanti + Burst 400 Mb/s LIAIN,Engagement 36 mois,Lien,Rcurrent,1, choir,150.00 ,0.00 
LIAIN,DS-IC-FTTE-100M400-LIAIN-36,Lien FTTE 100 Mb/s garanti LIAIN + Burst 400 Mb/s LIAIN,Engagement 36 mois,Lien,Rcurrent,1, choir,332.00 ,0.00 
LIAIN,DS-IC-FTTE-1G-LIAIN-36,Lien FTTE 1 Gb/s garanti LIAIN,Engagement 36 mois,Lien,Rcurrent,1, choir,726.00 ,0.00 
CONNEXY,DS-IC-FTTE-Z0-5M-CNX-36,Lien FTTE 5 Mb/s burst 100 Mb/s Z0 Connexy,Engagement 36 mois,Lien,Rcurrent,1, choir,97.00 ,0.00 
CONNEXY,DS-IC-FTTE-Z0-5M-CNX-24,Lien FTTE 5 Mb/s burst 100 Mb/s Z0 Connexy,Engagement 24 mois,Lien,NRC,, choir,97.00 ,480.00 
CONNEXY,DS-IC-FTTE-Z0-5M-CNX-12,Lien FTTE 5 Mb/s burst 100 Mb/s Z0 Connexy,Engagement 12 mois,Lien,Rcurrent,1, choir,97.00 ,959.00
